entity_id,site_id,entity_name,entity_status,corresponding_current,persist_id,depth_ref,geology,rock_age,wokam,vegetation_type,land_use,copernicus_lcc,cover_type,cover_thickness,host_rock_trace_elements,drip_water_trace_elements,distance_entrance,speleothem_type,drip_type,drip_height,d13C,d18O,iso_std,d18O_water_equilibrium,d18O_dripwater_carbonate_difference,organics,fluid_inclusions,mineralogy_petrology_fabric,clumped_isotopes,noble_gas_temperatures,C14,ODL,Sr_Ca,Sr_Ca_method,Sr_Ca_std,Sr_Ca_downsampled,Sr_Ca_downsampling_method,Mg_Ca,Mg_Ca_method,Mg_Ca_std,Mg_Ca_downsampled,Mg_Ca_downsampling_method,Ba_Ca,Ba_Ca_method,Ba_Ca_std,Ba_Ca_downsampled,Ba_Ca_downsampling_method,U_Ca,U_Ca_method,U_Ca_std,U_Ca_downsampled,U_Ca_downsampling_method,P_Ca,P_Ca_method,P_Ca_std,P_Ca_downsampled,P_Ca_downsampling_method,Sr_isotopes,Sr_isotopes_method,Sr_isotopes_std,trace_elements_datafile,trace_elements_metadatafile,cave_map,entity_scan,added_in_release_id,last_modified_release_id,data_DOI_URL
12,2,KS06-A,current,,2-KS06A,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,yes,1,1,https://www.ncdc.noaa.gov/paleo/study/21351
13,2,KS06-B,current,,2-KS06B,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,yes,1,1,https://www.ncdc.noaa.gov/paleo/study/21352
14,2,KS08-1-H,current,,2-KS081H,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,yes,1,1,https://www.ncdc.noaa.gov/paleo/study/21353
15,2,KS08-1,current,,2-KS081,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,yes,1,1,https://www.ncdc.noaa.gov/paleo/study/21354
16,2,KS08-2-H,current,,2-KS082H,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,yes,1,1,https://www.ncdc.noaa.gov/paleo/study/21355
17,2,KS08-2,current,,2-KS082,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,unknown,unknown,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,yes,unknown,unknown,Yes-SISAL downsampled,linear interpolation,yes,micro XRF (ITRAX),unknown,Yes-SISAL downsampled,linear interpolation,yes,micro XRF (ITRAX),unknown,Yes-SISAL downsampled,linear interpolation,yes,micro XRF (ITRAX),unknown,Yes-SISAL downsampled,linear interpolation,no,,,,,no,,,yes,no,no,yes,1,1,https://www.ncei.noaa.gov/pub/data/paleo/speleothem/asia/china/kesang2016ks08-2elem.txt
18,2,KS08-2-MIS3,current,,2-KS082MIS3,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/21357
19,2,KS08-6,current,,2-KS086,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/21357
20,3,PAR01,current,,3-PAR01,from top,limestone,Carboniferous,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,,,,200.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
21,3,PAR03,current,,3-PAR03,from top,limestone,Carboniferous,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,,,,200.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
22,3,PAR06,current,,3-PAR06,from top,limestone,Carboniferous,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,,,,500.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
23,3,PAR07,current,,3-PAR07,from top,limestone,Carboniferous,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,,,,500.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
24,3,PAR08,current,,3-PAR08,from top,limestone,Carboniferous,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,,,,500.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
25,3,PAR16,current,,3-PAR16,from top,limestone,Carboniferous,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,,,,200.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
26,3,PAR24,current,,3-PAR24,from top,limestone,Carboniferous,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,,,,200.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
27,4,Vil-stm6,current,,4-VILSTM6,from base,limestone,Jurassic,continuous carbonate,trees and grass,unknown,"open forest, other",thin,,unknown,unknown,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
28,4,Vil-stm9,current,,4-VILSTM9,from base,limestone,Jurassic,continuous carbonate,trees and grass,unknown,"open forest, other",thin,30.0,unknown,unknown,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
29,4,Vil-stm11,current,,4-VILSTM11,from base,limestone,Jurassic,continuous carbonate,trees and grass,unknown,"open forest, other",thin,40.0,unknown,unknown,200.0,stalagmite,unknown,,yes,yes,Vienna-PDB,no,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
30,4,Vil-stm14,current,,4-VILSTM14,from base,limestone,Jurassic,continuous carbonate,trees and grass,unknown,"open forest, other",thin,30.0,unknown,unknown,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
