sample_id,d13C_measurement,d13C_precision
5058,-6.09,0.06
5060,-6.52,0.06
5061,-7.45,0.06
5062,-7.25,0.06
5063,-7.65,0.06
5064,-8.07,0.06
5065,-8.19,0.06
5066,-8.24,0.06
5067,-7.95,0.06
5068,-7.99,0.06
5069,-7.73,0.06
5070,-7.97,0.06
5071,-7.87,0.06
5072,-7.71,0.06
5073,-7.92,0.06
5074,-7.8,0.06
5075,-7.78,0.06
5076,-7.81,0.06
5077,-7.84,0.06
5078,-7.88,0.06
5079,-7.72,0.06
5080,-6.29,0.06
5081,-6.88,0.06
5082,-6.2,0.06
5083,-6.2,0.06
5084,-6.72,0.06
5085,-6.25,0.06
5086,-6.27,0.06
5087,-6.75,0.06
5088,-6.29,0.06
5089,-6.23,0.06
5090,-6.84,0.06
5091,-5.94,0.06
5092,-5.82,0.06
5093,-5.99,0.06
5094,-5.74,0.06
5095,-5.83,0.06
5096,-5.65,0.06
5097,-5.26,0.06
5098,-4.89,0.06
5099,-4.55,0.06
5100,-4.47,0.06
5101,-4.58,0.06
5102,-4.42,0.06
5103,-4.63,0.06
5104,-4.85,0.06
5105,-4.92,0.06
5106,-4.89,0.06
5107,-5.15,0.06
5108,-5.69,0.06
5109,-5.89,0.06
5110,-6.19,0.06
5111,-6.64,0.06
5112,-6.32,0.06
5113,-6.68,0.06
5114,-6.49,0.06
5115,-6.35,0.06
5116,-6.26,0.06
5117,-6.02,0.06
5118,-6.26,0.06
5119,-6.31,0.06
5120,-6.08,0.06
5121,-6.33,0.06
5122,-6.22,0.06
5123,-6.35,0.06
5124,-6.29,0.06
5125,-5.85,0.06
5126,-6.0,0.06
5127,-5.88,0.06
5128,-5.92,0.06
5129,-5.8,0.06
5130,-5.89,0.06
5131,-5.77,0.06
5132,-5.32,0.06
5133,-4.95,0.06
5134,-4.96,0.06
5135,-4.53,0.06
5136,-4.64,0.06
5137,-4.89,0.06
5138,-4.69,0.06
5139,-4.91,0.06
5140,-4.9,0.06
5141,-4.95,0.06
5142,-5.21,0.06
5143,-5.47,0.06
5144,-5.95,0.06
5145,-6.25,0.06
5146,-6.45,0.06
5147,-6.38,0.06
5148,-6.74,0.06
5149,-6.63,0.06
5150,-6.84,0.06
5151,-7.1,0.06
5152,-7.08,0.06
5153,-6.93,0.06
5154,-6.94,0.06
5155,-7.1,0.06
5156,-6.93,0.06
5157,-7.12,0.06
5158,-6.87,0.06
5159,-6.96,0.06
5160,-7.12,0.06
5161,-7.06,0.06
5162,-7.25,0.06
5163,-7.19,0.06
5164,-7.42,0.06
5165,-7.23,0.06
5166,-7.14,0.06
5167,-7.09,0.06
5168,-7.22,0.06
5169,-7.23,0.06
5170,-7.38,0.06
5171,-7.38,0.06
5172,-7.45,0.06
5173,-7.68,0.06
5174,-7.38,0.06
5175,-7.56,0.06
5177,-7.83,0.06
5178,-7.94,0.06
5179,-7.94,0.06
5180,-6.89,0.06
5182,-6.42,0.06
5183,-6.13,0.06
5184,-6.06,0.06
5185,-5.35,0.06
5186,-5.75,0.06
5187,-5.24,0.06
5188,-5.2,0.06
5189,-4.7,0.06
5190,-4.8,0.06
5191,-5.19,0.06
5192,-4.93,0.06
5193,-5.39,0.06
5194,-5.33,0.06
5195,-5.15,0.06
5196,-5.3,0.06
5197,-5.26,0.06
5198,-5.29,0.06
5199,-5.42,0.06
5200,-5.21,0.06
5201,-5.31,0.06
5202,-5.31,0.06
5203,-5.43,0.06
5204,-5.46,0.06
5205,-5.45,0.06
5206,-5.5,0.06
5207,-5.41,0.06
5208,-5.57,0.06
5209,-5.4,0.06
5210,-5.38,0.06
5211,-5.53,0.06
5212,-5.3,0.06
5213,-5.39,0.06
5214,-5.34,0.06
5215,-5.27,0.06
5216,-5.15,0.06
5217,-5.06,0.06
5218,-5.16,0.06
5219,-5.05,0.06
5220,-5.0,0.06
5221,-4.95,0.06
5222,-4.91,0.06
5223,-4.82,0.06
5224,-4.67,0.06
5225,-4.7,0.06
5226,-4.77,0.06
5227,-4.87,0.06
5228,-4.86,0.06
5229,-5.34,0.06
5230,-5.68,0.06
5231,-6.06,0.06
5232,-6.34,0.06
5233,-6.7,0.06
5234,-7.0,0.06
5235,-7.28,0.06
5236,-7.26,0.06
5237,-7.45,0.06
5238,-7.52,0.06
5239,-7.46,0.06
5240,-7.72,0.06
5241,-7.84,0.06
5242,-7.97,0.06
5243,-8.01,0.06
5244,-8.0,0.06
5245,-7.77,0.06
5246,-7.68,0.06
5247,-7.44,0.06
5248,-7.47,0.06
5249,-7.22,0.06
5250,-7.14,0.06
5251,-7.2,0.06
5252,-7.12,0.06
5253,-7.08,0.06
5254,-7.0,0.06
5255,-7.01,0.06
5256,-7.06,0.06
5257,-7.06,0.06
5258,-7.17,0.06
5259,-7.12,0.06
5260,-7.11,0.06
5261,-7.05,0.06
5262,-6.96,0.06
5263,-6.8,0.06
5264,-6.58,0.06
5265,-6.5,0.06
5266,-5.99,0.06
5267,-5.53,0.06
5268,-5.04,0.06
5269,-4.8,0.06
5270,-4.43,0.06
5271,-4.37,0.06
5272,-4.67,0.06
5273,-4.9,0.06
5274,-4.89,0.06
5275,-4.5,0.06
5276,-4.61,0.06
5277,-4.98,0.06
5278,-5.39,0.06
5279,-5.32,0.06
5280,-5.49,0.06
5281,-5.85,0.06
5282,-5.63,0.06
5283,-5.87,0.06
5284,-5.88,0.06
5285,-5.75,0.06
5286,-5.53,0.06
5287,-5.78,0.06
5288,-5.61,0.06
5289,-5.64,0.06
5290,-5.61,0.06
5291,-5.77,0.06
5292,-5.87,0.06
5293,-5.8,0.06
5294,-5.85,0.06
5295,-5.88,0.06
5296,-5.88,0.06
5297,-5.79,0.06
5298,-5.91,0.06
5299,-6.09,0.06
5300,-6.0,0.06
5301,-6.2,0.06
5302,-6.23,0.06
5303,-6.21,0.06
5304,-7.01,0.06
5305,-7.23,0.06
5306,-7.0,0.06
5307,-7.15,0.06
5308,-6.72,0.06
5309,-6.85,0.06
5310,-6.82,0.06
5311,-7.09,0.06
5312,-7.58,0.06
5313,-7.08,0.06
5314,-7.4,0.06
5315,-7.46,0.06
5316,-7.64,0.06
5317,-7.56,0.06
5318,-7.7,0.06
5319,-7.55,0.06
5320,-7.71,0.06
5321,-7.57,0.06
5322,-7.7,0.06
5323,-7.73,0.06
5324,-7.72,0.06
5325,-7.66,0.06
5326,-7.64,0.06
5327,-7.74,0.06
5328,-7.78,0.06
5329,-7.77,0.06
5330,-7.83,0.06
5331,-7.84,0.06
5332,-7.75,0.06
5333,-7.77,0.06
5334,-7.82,0.06
5335,-7.74,0.06
5336,-7.71,0.06
5337,-7.81,0.06
5338,-7.75,0.06
5339,-7.39,0.06
5340,-5.98,0.06
5341,-6.32,0.06
5342,-5.84,0.06
5343,-6.51,0.06
5344,-4.98,0.06
5345,-5.02,0.06
5346,-5.91,0.06
5347,-5.8,0.06
5348,-6.35,0.06
5349,-6.91,0.06
5350,-6.69,0.06
5351,-6.87,0.06
5352,-6.35,0.06
5353,-7.11,0.06
5354,-7.1,0.06
5355,-7.12,0.06
5356,-6.8,0.06
5357,-6.76,0.06
5358,-6.67,0.06
5359,-6.37,0.06
5360,-6.15,0.06
5361,-6.06,0.06
5362,-5.79,0.06
5363,-5.89,0.06
5364,-5.64,0.06
5365,-5.44,0.06
5366,-5.29,0.06
5367,-5.26,0.06
5368,-5.29,0.06
5369,-5.18,0.06
5370,-5.17,0.06
5371,-5.01,0.06
5372,-4.91,0.06
5373,-5.19,0.06
5374,-5.6,0.06
5375,-6.06,0.06
5376,-6.07,0.06
5377,-5.96,0.06
5378,-6.3,0.06
5379,-6.17,0.06
5380,-6.39,0.06
5381,-6.44,0.06
5382,-6.48,0.06
5383,-6.35,0.06
5384,-6.67,0.06
5385,-7.46,0.06
5386,-7.32,0.06
