dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
11289,630,MC-ICP-MS U/Th,14.0,,46330-G,unknown,219.0,219.0,193324.0,2959.0,2959.0,,,yes,1245.0,1.0,24834.0,71.9,29.0,0.09,29.0,0.09,1.42,0.004,1.58,0.002,0.816,0.408,Cheng et al. 2013,192658.0,1469.0,1467.0,yes,yes,,,,yes,yes
11290,630,MC-ICP-MS U/Th,22.0,,46330-H,unknown,272.0,272.0,203168.0,2259.0,2259.0,,,yes,1385.0,1.3,8348.0,14.7,30.0,0.05,30.0,0.05,1.34,0.003,1.48,0.002,0.816,0.408,Cheng et al. 2013,202660.0,892.0,1124.0,yes,yes,,,,yes,yes
11291,631,Event; start of laminations,40.75,,,,,,,,,,,yes,,,,,,,,,,,,,,,,42.0,5.0,5.0,,,,,,,
11292,631,Event; end of laminations,1.75,,,,,,,,,,,yes,,,,,,,,,,,,,,,,-26.0,5.0,5.0,,,,,,,
11293,632,MC-ICP-MS U/Th,225.0,,MOD-21-U1,calcite,,,55723710.0,,,,,no,30.2103307807,4.3422631705e-06,0.860521313046,,,,,,0.579945078791,0.00681956487198,1.41919737952,0.0013914292153,0.185097755674894,,unknown,54592.51,1601.86,1601.86,,yes,,,,,
11294,632,C14,225.0,,MOD-21-RC1,calcite,,,48000.0,,,,INTCAL09,no,,,,,,,,,,,,,,,,,,,,no,,,,,
11295,632,C14,160.0,,MOD-21-RC2,calcite,,,42400.0,1100.0,1100.0,9.0,INTCAL09,no,,,,,,,,,,,,,,,,45971.0,2760.0,2760.0,,yes,,,,,
11296,632,Event; hiatus,142.0,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,yes,,,,,
11297,632,C14,82.5,,MOD-21-RC4,calcite,,,2285.0,35.0,35.0,9.0,INTCAL09,no,,,,,,,,,,,,,,,,1445.0,709.0,709.0,,yes,,,,,
11298,632,C14,12.5,,MOD-21-RC3,calcite,,,2215.0,30.0,30.0,9.0,INTCAL09,no,,,,,,,,,,,,,,,,1376.0,685.0,685.0,,yes,,,,,
11299,632,Event; hiatus,7.49,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,yes,,,,,
11300,632,Event; actively forming,0.0,,,,,,,,,,,no,,,,,,,,,,,,,,,,-58.0,0.0,0.0,,no,,,,,
11301,633,MC-ICP-MS U/Th,769.0,,,calcite,50.0,150.0,27690.0,400.0,400.0,,,yes,31.5,,2427.0,,,,11.78,0.259,0.2972,0.004,1.3391,2.3e-05,0.825,0.825,Cheng et al. 2000,26000.0,1730.0,1730.0,yes,yes,yes,yes,,yes,yes
11302,633,MC-ICP-MS U/Th,727.0,,,calcite,50.0,150.0,28110.0,440.0,440.0,,,yes,24.2,,2901.0,,,,7.75,0.13,0.3036,0.004,1.3496,3e-05,0.825,0.825,Cheng et al. 2000,25500.0,2650.0,2650.0,yes,yes,yes,yes,,yes,yes
11303,633,MC-ICP-MS U/Th,463.0,,,calcite,50.0,150.0,25820.0,290.0,290.0,,,yes,31.0,,581.0,,,,45.72,2.444,0.2807,0.003,1.3455,1.6e-05,0.825,0.825,Cheng et al. 2000,25420.0,500.0,500.0,yes,yes,yes,yes,,yes,yes
11304,633,MC-ICP-MS U/Th,435.0,,,calcite,50.0,150.0,26730.0,450.0,450.0,,,yes,29.3,,886.0,,,,29.56,1.641,0.2923,0.004,1.3592,1.9e-05,0.825,0.825,Cheng et al. 2000,26090.0,790.0,790.0,yes,yes,yes,yes,,yes,yes
11305,633,MC-ICP-MS U/Th,361.0,,,calcite,50.0,150.0,27690.0,360.0,360.0,,,yes,29.5,,2916.0,,,,9.38,0.158,0.3036,0.003,1.3678,3.7e-05,0.825,0.825,Cheng et al. 2000,25570.0,2150.0,2150.0,yes,yes,yes,yes,,yes,yes
